OBJECTID,CODE,TYPELOCAL,NOM,SERV_ECOLE,SERV_POSTE,SERV_DOUAN,SERV_GENDA,SERV_HOPIT,SERV_INFR_,SERV_MUSUL,SERV_CHRET,SERV_CHAT_,SERV_PT_EA,SERV_ANT_H,SERV_EOLIE,SERV_PUITS,THEME,PAYS,IDUU,longitude,latitude
"323","4600060","6",Ngueun Sar,"1","0","0","0","0","1","1","0","1","0","1","0","0",LA,SN,d72bb935-c94f-49da-af16-59eeabce5c55,363303.0000000,1737766.0000000
"324","4600060","6",Léona,"1","0","0","0","0","1","1","0","1","0","1","0","0",LA,SN,c4857bcd-22ea-41b8-9140-cd5347a04482,343425.0000000,1738555.0000000
"325","4600060","6",Nguer Malal,"1","0","0","0","0","1","1","0","1","0","1","0","0",LA,SN,d3221b13-49e6-4500-b81b-b24f49363597,392483.0000000,1740352.0000000
"326","4600060","6",Nabadji,"1","0","0","0","0","1","1","0","1","0","0","0","0",LA,SN,ee3e12f7-ee6e-4017-a9c5-182c1fce3263,672692.0000000,1740553.0000000
"327","4600060","6",Labgar,"1","0","0","0","0","1","1","0","0","0","1","0","0",LA,SN,91593438-ceaa-47da-b4b2-9481a4259697,520395.0000000,1750541.0000000
"328","4600060","6",Téssékré Forage,"1","0","0","0","0","0","1","0","1","1","1","0","0",LA,SN,05066116-406e-4b4c-b4fc-b98a054d9860,493674.0000000,1753066.0000000
"329","4600060","6",Boki Diavé,"1","1","0","0","0","1","1","0","0","0","1","0","0",LA,SN,7d0e1a57-d144-4a5c-9908-76798d9f24e6,661682.0000000,1757036.0000000
"330","4600060","6",Dabia,"1","0","0","0","0","1","0","0","0","0","0","0","0",LA,SN,19a2d028-856a-44c2-91ff-abfd05496f23,658945.0000000,1760053.0000000
"331","4600060","6",Mpal,"1","0","0","0","0","1","1","0","1","0","1","0","0",LA,SN,550a1a78-0274-4ea0-9061-bc5eea2f83ee,364160.0000000,1760420.0000000
"332","4600060","6",Gandon,"1","0","0","0","0","1","1","0","1","0","1","0","0",LA,SN,d9ad1b76-efce-4978-926e-0557aa1aefb5,345334.0000000,1765296.0000000
"333","4600060","6",Oréfondé,"1","0","0","0","0","1","1","0","1","0","1","0","0",LA,SN,6dedadc1-91ba-4518-a68e-4e1c08c4a151,636342.0000000,1774563.0000000
"334","4600060","6",Syèr,"1","0","0","0","0","1","1","0","0","0","0","0","0",LA,SN,e0d26354-76e8-45d6-9fed-6eb471ba9d67,404566.0000000,1777471.0000000
"335","4600060","6",Galoya Toucouleur,"1","1","0","0","0","1","1","0","1","0","1","0","0",LA,SN,62b154e7-3749-46bc-9557-9e27ac0f71ab,622534.0000000,1777578.0000000
"336","4600060","6",Pété,"1","1","0","1","0","1","1","0","1","0","1","0","0",LA,SN,fecdd6bc-409f-40c0-8a99-a6ef40b918e4,612773.0000000,1781316.0000000
"337","4600060","6",Mboumba,"1","0","0","0","0","1","1","0","0","0","0","0","0",LA,SN,8f15f4f0-6072-4c4c-929b-83ddb9e63ef9,605230.0000000,1790414.0000000
"338","4600060","6",Madina Ndiatbé,"1","1","0","0","0","1","1","0","0","0","0","0","0",LA,SN,1336668f-7d41-4ec3-a1f0-fd6e1e0e21e9,592023.0000000,1801576.0000000
"339","4600060","6",Aéré Lao,"1","1","1","0","0","1","1","0","1","0","1","0","0",LA,SN,0bd53736-5e15-4588-9f79-a8bcab12d7fc,572638.0000000,1813370.0000000
"340","4600060","6",Dodel,"1","0","0","0","0","1","1","0","1","0","0","0","0",LA,SN,cc0f051a-877c-4be2-ab7f-e53f4b4c7163,561267.0000000,1823037.0000000
"341","4600060","6",Ronkh,"1","0","0","0","0","1","1","0","1","0","0","0","0",LA,SN,342710d3-d2b5-4f03-853e-6bebd887196f,394753.0000000,1823608.0000000
"342","4600060","6",Ndiayène Pendao,"1","0","0","0","0","1","1","0","1","0","0","0","0",LA,SN,74faada7-b158-41d6-8a70-71e7a2ae0ab0,494834.0000000,1824665.0000000
"343","4600060","6",Fanaye Diéri,"1","0","0","0","0","0","1","0","1","0","1","0","0",LA,SN,4b8ffad6-0bef-47cc-ad75-99cc91a9fcb8,476222.0000000,1827426.0000000
"344","4600060","6",Guédé Village,"1","0","0","0","0","1","1","0","1","0","1","0","0",LA,SN,06bcd0d6-d0eb-40d3-8a15-a1aacbc3f8bb,521011.0000000,1829133.0000000
"345","4600060","6",Gaé,"1","0","0","0","0","1","1","0","0","0","0","0","0",LA,SN,5c5ac71c-25ba-4ebb-9490-bd65e7691cff,451935.0000000,1833140.0000000
"346","4600040","3",Goudomp,"1","1","0","1","0","1","1","1","0","0","1","0","0",LA,SN,6e56d938-af58-43ef-96e0-3b23bdf83973,404532.0000000,1390040.0000000
"347","4600060","6",Tionk Essil,"1","0","0","0","0","1","1","0","1","0","1","0","0",LA,SN,5dae79fa-0cf3-48eb-a36d-25cd3bfa294d,336606.0000000,1413752.0000000
"348","4600060","6",Marsassoum,"1","1","0","0","0","1","1","1","0","0","1","0","0",LA,SN,57ad2020-6645-4ee9-81d0-5d2cca627674,393522.0000000,1419080.0000000
"349","4600060","6",Sokone,"1","1","0","1","0","1","1","1","1","0","1","0","0",LA,SN,58319b92-931e-4745-bb08-2aea43e38668,351929.0000000,1535004.0000000
"350","4600060","6",Ndofane,"1","1","0","1","0","1","1","1","1","0","1","0","0",LA,SN,18a929e1-2096-4a00-82cb-9e1a2e5e98e5,399902.0000000,1538995.0000000
"351","4600040","3",Koungheul,"1","1","1","1","0","1","1","1","1","0","0","0","0",LA,SN,fb3d7682-fbec-4f82-8200-dc222d10b394,521410.0000000,1545419.0000000
"352","4600060","6",Passy,"1","1","0","0","0","1","1","0","1","0","1","0","0",LA,SN,e817f6d5-864b-41d3-95bf-6f752efd35d8,364143.0000000,1546653.0000000
"353","4600060","6",Fadiout,"1","0","0","0","0","1","1","1","0","0","0","0","0",LA,SN,c4f6776a-17ae-4bbd-b79e-57e7e6f97e13,303187.0000000,1565350.0000000
"354","4600060","6",Kahone,"1","0","0","0","0","1","1","1","1","0","0","0","0",LA,SN,4a4524d6-3fae-4999-a262-a4e2fcf433e9,388248.0000000,1565469.0000000
"355","4600060","6",Kabatoki,"1","0","0","0","0","1","1","1","1","0","1","0","0",LA,SN,78405855-e901-4949-bc34-469b5d71ee25,377282.0000000,1566985.0000000
"356","4600060","6",Joal,"1","0","0","1","0","1","1","1","0","0","0","0","0",LA,SN,4cec7c7f-45bc-4be8-ac40-c8f356cc7fb4,300331.0000000,1567601.0000000
"357","4600060","6",Diofior,"1","0","0","0","0","1","1","1","1","0","1","0","0",LA,SN,3b9a23c6-d851-4228-a181-9db661d41174,320777.0000000,1569694.0000000
"358","4600060","6",Gandiaye,"1","0","0","1","0","1","1","1","0","0","0","0","0",LA,SN,e4856f46-51aa-4222-a220-43bd63de48ea,362899.0000000,1574864.0000000
